,acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
2036,trato,"Quien no agradece, no aprende ",ultimatum,Se puede usar a favor de quien la padece ,ser empático,Sentimiento presente cuando obramos de mala manera,,palabras claves que lo identifiquen ,crisis,poder trabajado ,se relaciona con que algo bueno pronto sucederá,,sin problemas ,obtención de algo,,Se asocia a las personas directas ,Acción a realizar por el manato de  jefeo superior,,,se siente frente a situaciones desconocidas,Relacionado con nuestra mente,Se logra a traves del penamiento,Cuando alguien esta en lo correcto,se produce cuando alguien te cuida,,,se logra cuando la realidad coincide con tus deseos
2037,compromiso,es una habilidad ,Peligro,Generalmente juega en contra,tener pena,Ligado al arrepentimiento,,,sociedades enteras han pasado por esto,capacidad,"En situaciones críticas, es lo unico que nos queda tener",,musica,mejor que antes,,Claridad,deber,,,forma de proteger algo,Es personal ,ordena tareas,Motivo,se la dan los los padres a un hijo ,,,lograr una meta pensada
2038,union,Debe ser enseñado,Cuando alguien te advierte de algo,es un mal silencioso ,sensible por el dolor ajeno,Estado emocional previo a la búsqueda de perdón.,,,malestar mental,dominio ,nos entrega tranquilidad en ciertas ocaciones,,estado,victoria en la comparación,,Carácterística de la personalidad que se da cuando una persona es verdadera con sus actos y palabras.,tarea que hay que hacer para evitar algo malo,,,señala exposicion a algo que puede provocar daños,Lo hacemos la mayor parte del día,una idea en caso se que algo no salga bien,Propósito,firmeza,,,el fruto de trabajo y perseverancia
2039,amistad,gratitud,Cuando una persona intimida a otra,incapacidad de espera a un suceso,sentido de hermandad,Sentimiento que se siente al haber cometido una acción que se sabes es incorrecta o indebida. ,,,inestabilidad,desplante,lo ultimo que se pierde,,Estado idealizado del equilibrio,resultado positivo,,Carácterística que se da en personas cuyas palabras tienen cohesión con sus hechos.,responsabilidad,,,Este sentimiento nos lleva a la inseguridad ,Es un modo de reflexionar,opción,Cuando alguien tiene inteligencia,confianza,,,lograr cumplir objetivos
2135,proyeccion,felicidad,Cuando alguien habla demasiado usualmente te trata de intimidar,nerviosismo,empatía vertical,Sentimiento de remordimiento por un acto o palabra dicha.,,,desequilibrio,llama la atención ,la gente se aferrra a ella en momentos de crisis,,Tiende a asociarse con el positivismo,tener algo a favor a cambio de algo vendido,,Característica que se da en personas que no mienten y actuan de manera correcta respecto también a lo que piensan.,acciones que se deben hacer,,,Puede ser físico o psicológico ,Nos conecta con nosotros mismos,sugerencia,Es la capacidad de cada persona,estado el cual consiste en sentirse protegido,,,culminacion de algo lllevado a cabo perfectamente
2136,estabilidad,tranquilidad,Estado que sientes al estar bajo peligro,anhelo de adelantar el tiempo,sentir pena poralgo o alguien,Peso moral producto de un hecho incorrecto.,,,inequidad,habilidad,gente recurre a ella en momentos de desesperacion,,Escuda frente a pensamientos dañinos,quedar con numeros positivos en una inversion,,decir la verdad ,imposicion,,,Los padres nos defienden de esto mientras somos niños o durante toda la vida,Nos identifica quién somos,Se utiliza para organizar algo,raciocinio,puedeser un lugar el cual sea confortable o seguro,,,"llegar a la cima en algun lugar , competenciau otros"
2252,colaborar,gracias,Incomoda,impaciente,fuerza que lleva a la caridad,Es psicológico,,,impacientar,se tiene conciencia de qué hacer,dios nos la brinda,,Energía desbordante,resultado de una gestion transaccional beneficiosa,,ser transparente ,carácter extricto,,,sentimiento de amenaza,Nos hace tener opinión propia e ideales ,pueden tener fines positivos o negativos ,Estar en lo correcto ,estabilidad,,,se refleja como un trinfo
2253,negociación,estar satisfecho con algo,Acecha,nervio,Sentimiento,Una la tiene después de hacer algo que no es correcto,,,irritación,se aprende,personas religiosas suelen poseerla con mayor frecuencia que las que no,,Optimismo descontrolado,resultado positivo,,no mentir ,normas,,,los lugares altos nos dan esta sensación,inconsciente,facilitan el actuar ,Argumento,supuesta función que brinda el estado,,,Ganar
2254,conlleva a un beneficio mutuo,se les da a alguien,Esta presente,cuando se siente se puede comer mucho,Algo que conmueve,Uno la tiene después de haber cometido algún error,,,enojo,agilidad,todo alumno al final del semestre,,Aceptación al misterio,lo q se obtiene tras una venta,,Es algo bueno,deberes,,,animales como arañas o perros rabiosos nos hacen sentirlo,procesamiento de información,procedimiento al que se llaga para lograr algo,Explicacion para tener una razon,estar sin riesgos,,,Lograr las metas
2387,permite progresar,es una virtud poder realizarlo,Es mala,trastorno psicológico,Emociòn,Uno se siente responsable de lo ocurrido,,,angustia,forma de realizar una actividad,expectativas,,Confianza,obtencion de recursos,,La gente es admirada cuando es de esta forma,acto impuesto por algo o alguien,,,algo que puede dañar,capacidad de análisis,amerita análisis para obtenerlo,"Si se algo que tu no, tengo la ",segurito (personaje),,,Que a alguien le vaya bien en la vida
2388,involucra una discusión previa,situación en donde se da las gracias,Cambia la actitud de las personas,se siente cuando se expone un evento traumático,Sentir làstima por otro,Es una falta,,,ansiedad,arte,augurio,,Ligereza,obstener algo personal,,Crea confianza,,,,riesgo,reflexión,involucra un conjunto de acciones,Explicacion para hacer algo ,cinturon de…,,,Que todo salga bien
2389,punto de equilibrio,sentirse lleno ,No se puede evitar,angustia ,Pena por alguna situaciòn,Situación después de un delito,,,adrenalina ,maniobra,bienestar,,Motivación,logro de algo,,Trae beneficios,,,,siniestro,es mental,busca un objetivo,Motivo para hacer algo ,confort,,,Es para ganadores
2506,es muy difícil de lograr,viene luego del recibimiento de un regalo (espiritual o material),Para cada persona son diferentes,También muchos trastornos se desarrolan por esto ,Apiadarse de algo o alguien,Arrepentimiento,,,cuando se esta apurado y te toca una larga fila ,otorga facilidad,futuro,,Emoción ,financiamiento,,Los políticos generalmente no lo son,,,,posibilidad cierta de un daño,puede compartirse,suele involucrar a muchas personas,racional,Sentimiento que se logra mediante la realización de ciertas actividades,,,es una forma de atraer felicidad
2507,puede ser entre 2 o muchas partes,Accion de una persona tras recibir algo,No se puede escapar,fármacos pueden controlarla,sentimiento,Puede causar enfermedades mentales,,,cuando no puedes controla algo,dote,felicidad,,Sensacion de estar satisfecho ,,,Los ladrones tampoco lo son,,,,la eventualidad de pérdidas,es personal,su completacion lleva a satisfaccion,característica,Existen guardianes de esto tanto en las calles como en los recintos privados,,,cumbre
2508,forma de resolver conflictos,Sentimiento al recibir un presente o favor,Te disgusta sentirla,sensación duradera,tolerancia,Ocultar respecto a algo,,,miedo ,cualidad,auge,,Cuando hago algo que me gusta me provoca  ,,,Es una virtud,,,,detrimento,depende de cada persona,sirve para tener una idea de accion a realizar,pensamiento ,Es algo que debes tener para poder actuar ,,,plenitud
2634,trato,Amerita retribucion,peligro,es algo desesperante,actitud,Darse cuenta del error y no querer contarlo,,,emocion,Buena habilidad en algo,mejora,,Contrario a tristeza ,,,Es honroso para uno,,,,menoscabo,meditación,mapa de ideas,yo hago uso de ella cada vez que pienso,sentimiento de confort y bienestar,,,metas personales
2635,se deben respetar,Se aprecia tras ser recibido,atacante,va más allá del control de la persona,empatía,sentimiento,,,encerrado en una pieza sin puertas ni ventanas ,Buen desempeño,vienen tiempos buenos,,Sentimiento ,,,Cualidad de una persona que genera confianza,,,,problemas,proceso interior,planificacion de acciones,la tienen todos los seres humano,las mutuales tratan de brindarla,,,perserverancia
2636,entendimiento,Se realiza de corazón,victima,generalmente un suceso la provoca,,sujeto negligente,,,no pensar tranquilamente ,Habilida ,Luz,,Cuando algo sale bien me provoca ,,,transparencia,,,,lo que protegen los seguros,se puede verbalizar,con frencuencia usado para tener una vision de proyecto a futuro,"para argumentar, se pueden usar varias de ellas",gente estudia para poder tener un cargo y tratar de darla,,,optimismo
2637,comunicación,la accion previa trajo felicidad y por eso se realiza,tiene un fin ,ganas de que algo sucesa con muchas ganas,,responsable de algo negativo,,,aparece cuando no ves más alternativas para resolver un problema,Capacidad relizar algo bien,Felicidad,,Estado emocional pleno,,,verdad,,,,se verifican cuando existen catástrofes naturales,es abstracto,compañias telefonicas suelen ofrecerlos,argumentos,los policias nos dan ese sentimiento,,,lograr objetivos
2665,requiere la aceptación de las partes,cuando te dan regalos uno lo hace ,puede agredir ,impaciencia,,Sentimento negativo de responsabilidad,,,cuando te enfrentas a algo desconocido,Algunas se adquiren otras son inatas ,Paz,,"Varia de persona a persona, pudiendo responder a distintos objetos",,,transparencia en el actuar,,,,Te encuentras en apuros,carácter subjetivo,complot ,Aspecto que permite tener un pensamiento lógico.,estado de proteccion,,,
2666,se almacena en la memoria,cuando te hacen un favor uno lo dice ,incita a la violencia,ganas de hacer algo,,Pensamiento rumiante que minimiza la autoestima,,,cuando no sabes que más hacer para salvar o arreglar la situación,Determinan el futuro de una persona,blancura,,Sensación de plenitud,,,decir la verdad,,,,Expuesto a consecuencias negativas,Hay muchos en la mente,reunion,"Aspecto que permite a una persona, saber lo que está bien y mal.",contrario al estado de amenaza,,,
2667,útil frente a lo ambiguo,esta en cada acto de las personas ,perjudica a otros,nervios,,tener responsabilidad de lo sucedido,,,en su mayoría se observa más en mujeres que en hombres,Aveces son envidiadas,solución de un problema,,Estado emocional alegre,,,ser transparente,,,,Alta probabilidad de riesgos ,Siempre se trata de que sean acertados,uno lo hace para hacer dieta ,logica,un estado en donde uno esta despreocupado sobre problemas,,,
2777,Se puede modificar en el futuro,se le dice a una persona,"Aviso de que una acción tuya puede gatillar una reacción en otra persona, generalmente negativa.",produce sudoración en las manos,,ser responsable de un hecho,,,uno puede actuar irracional e inconciente bajo el efecto del concepto,Aveces son desperdiciadas ,permite luchar hasta el final,,Buen sentimiento que se da como resultado de un hecho positivo.,,,estar con la mente tranquila,,,,Estado de alerta,Capacidad que tienen las personas de razonar,los militares lo hacen en las guerras ,pensar,Sentirse protegido ,,,
2778,Código de confianza,cuando estas feliz con lo que recibes ,Advertencia acerca de algo.,descontrol,,ser participe de un acto.,,,es una emoción,habilidad,posibilidad de hacer algo,,Estado similar a la alegría que se da tras obtener hechos beneficiosos.,,,sinceridad,,,,No te encuentras seguro ,Todo el día se está ………………,estrategia ,Se utiliza a cada segundo,Libre de riegos ,,,
2779,Trato entre dos partes,cuando estas feliz con lo que te hicieron ,posible situación de peligro,lleva a acciones descontroladas,,emocion que se genera tras cometer una accion incorrecta,,,Estado angustioso,ser bueno en algo,motivación,,Estado de ánimo positivo y beneficiosos para el organismo.,,,transparencia,,,,Alerta máxima,Reflexion,objetivo de un curso,Ayuda a tomar decisiones,Prevención ante cualquier peligro ,,,
2780,Tratado entre dos o más partes que beneficia a todos,cuando uno entrega cosas a cambio,forma expresiva para aminorar un peligro,es algo siempre negativo,,sensacion de malestar tras cometer un error,,,Cuando se pierde algo valioso entramos en un estado de preocupación,desempeño en una tarea,ilusión,,excitado,,,frontalidad,,,,adversidad,Filosofia ,puede ser secreto,Es lo que una persona terca no va a transar,Antónimo de estar en estado de altera,,,
2781,Coincidir en algo ,gratificación,algo que te deja en alerta,produce un malestar,,sentimiento negativo,,,Más que la preocupación,la forma en la que afrontas algo,fantasía,,emocionado ,,,ser uno mismo,,,,inseguridad,Puede ser bueno o malo,se hace de a 2 o mas personas ,Reflexión al respecto de cierta actitudes,Zona de confort,,,
2782,Cuando dos personas quieren reunirse llegan a un ,se produce luego de hacer un favor,situación estresante,deseo de adelantar el tiempo,,remordimiento,,,Usualmente las personas que pasan por esto necesitan ayuda externa,el uso de tus habilidades,tener confianza en algo,,alegria ,,,ser correcto,,,,situacion incomoda,Principal Herramienta del ser humano,organización ,Dicernimiento al respecto de las situaciones,"Lo que otorga los candados, puertas cerradas, etc. ",,,
2783,Planificar hacer algo ,cortesía,te deja con inseguridad,Estado de una persona ante algo que le afecta,,sentirse mal por haber provocado en otro un efecto negativo,,,situación que va más alla de los limites de la persona y le produce ansiedad. ,desarrollo,creer que alguna situacion saldra como se esperaba,,estar muy alegre,,,decir la verdad,,,,riesgo,Metodo de analisis ,se llega a una meta a partir de este ,Poder de elección,Estar en confianza ,,,
2784,Quedar con alguien a hacer algo,una persona queda en deuda con otra,desafío,Lo que te da cuando tienes antojos de alguna comida o bebida,,tener responsabilidad en una situación,,,Ansiedad,se tiene al ser habil,es lo ultimo q se pierde,,cuado persona hace algo bueno,,,ser franco,,,,Fuera de salvedad,idea sobre algo,estrategia,Capacidad de actuar de una persona sobre las situaciones de la vida,Sin preocupación,,,
2948,Promesa,es una señal de aprecio por lo que el otro hizo por uno mismo,violencia,Trastorno que puede desembocar en graves adicciones,,sentirse responsable,,,angustia,bueno para algo,tiene relacion con la fe,,emocion,,,manipular una informacion real cambiandolo por algo erroneo,,,,Situacion que activa una maxima alerta en las personas,concepto,táctica,estar en lo correcto,confortabilidad,,,
2949,trato,produce felicidad,prepotencia,Bruxismo,,acción flagelante,,,perder el control,se logra con práctica y trabajo duro,religion,,sonrisa,,,sinceridad,,,,Exposicion a ser dañado ,es cuando la consciencia habla,ingenio,estado  mental,fuera de riesgo,,,
2950,decisión en conjunto ,se representa generalmente solo por la palabra,te pone nervioso,Insatisfacón,,sentir o saber que cometiste algun error ,,,estar preocupado ,habilidad,Amor,,momento grato,,,accion positiva relacionada con decir la verdad,,,,Genera angustia y miedo en las personas,algo que nunca para de pasar mientras estas consciente,por lo general es grupal,"Pensamiento, mente",es una sensación,,,
2951,toma de desiciones,acciones desinteresadas,riesgo,Incomodidad ,,estado animico pensativo,,,sin esperanzas,capacidad,Renacer ,,sonreir a la vida,,,ser transparente,,,,Riesgo,pasa en el cerebro,complejidad,capacidad de pensar las cosas,estar a salvo,,,
2952,puede ser entre 1 o mas participantres,empatía,estar en peligro,Necesidad de algo inalcansable  ,,señalar a alguien como el responsable de algo,,,alterarse cuando algo no resulta de la forma que uno quiere,aptitud para hacer algo,Cuando uno piensa que tiene todo perdido pero se abre una brecha,,alegría,,,decir la verdad a pesar de las consecuencias,,,,Resulta de la poca seguridad,sólo lo hacen los seres humanos,sus inicios fueron con fines militares,propia de los seres humanos,no representa un peligro,,,
2953,es como un tratado,Gracias,"dirigir palabras de riesgo a una persona, con opcion de concretarlas",busqueda de algo inaccequible ,,,,,ansiedad,arte de poder hacer algo ,No perder nunca la fe,,dicha,,,virtud de las personas que son transparentes,,,,amenaza para el bienestar,es la diferencia entre un humano y un animal,importantes consecuencias,Lo que nos hacer ser personas inteligentes,estar a gusto,,,
3136,Trato entre 2 o más personas.,Uno envía un saludo o un regalo ,estado de alerta,Querer hacer algo rápido ,,,,,tener ataques de panico,capacidades manuales,Tener confianza que algo va a suceder,,como te sientes cuando las cosas salen bien,,,decir solo lo que es realmente cierto,,,,Las personas buscan estar a salvo de el ,Involucra la mente,permite organizarse,Capacidad de pensar,Zona de confort,,,
3137,"Trato, promesa o compromiso de algo, entre un par o un grupo de individuos.",Es una demostración,que se corre un riesgo inminente,No poder esperar ,,,,,estrés,ingenio,Estar certeros de la situación,,júbilo,,,decir la verdad,,,,Inseguridad,Proviene de una acción que realiza la mente,busca un beneficio ,Tener una opnión veraz,Tranquilidad,,,
3138,Compromiso hecho mediante palabras.,gratificación,advertencia con cierto grado de violencia,Estado natural,,,,,inquietud,creatividad,Creencia,,gozo,,,actuar consinceridad,,,,Limite,Suele llevar a una idea,indica qué es lo que vamos a hacer,tener claridad en un tema ,Estabilidad,,,
3139,Trato,Cuando alguien retribuye algo,Asecho con peligro,Suele darse en momentos incomodos,,,,,sensacion de agobio extremo,afinidad con algo,Es una promesa que esperamos que se cumpla algún día,,cuando se sonríe,,,ser transparente,,,,Amenaza ,Puede traer dudas,premeditación,tener conceptos acertivos en un dialogo,Se pude pagar por ella,,,
3140,Negocios,tiene que ver con el respeto,Sentise desprotegido ante una situación.,Es una forma de sentirse,,,,,estar sin salida y no poder revertirlo a pesar de los esfuerzos,capacidad,Ilusión sobre una situación,,sentimiento bonito,,,no ocultar ideas u opiniones aunquesean disrutivas,,,,Se debre enfrentar con atencion ,Ejercita al cerebro,organización,ser conciente,La seguridad genera esperanza ,,,
3141,Prosperidad económica,viene en respuesta de la ayuda que alguien le otorgue a otro,,No deja dormir,,,,,estar atrapado ,presicion para hacer algo,sentir que algo bueno va a suceder,,sentirse bien,,,decir la verdad,,,,Produce adrenalina,Se desarrolla la mente a través de esta herramienta,meticuloso,estructura  lógica de pensamiento,se puede medir ,,,
3142,Puede tener un marco legal,dar las gracias demuestra educacion básica,,Sucede cuando quieres que algo pase rapido,,,,,intranquilidad por algo que no se puede resolver o solucionar,habilidad,fe,,sentimiento supremo,,,no mentir,,,,Puede ser adictivo,razonamiento,calculado,idea,es un bien ,,,
3143,Reunión,nos lo enseñan desde pequeños,,"Se puede reducir, pero no controlar",,,,,Palabra utilizada cuando se esta viviendo una situacion de angustia,competencia,que algo esperado pase,,unido al amor,,,no oculptar nada,,,,amenaza,capacidad crítica,certero,sentido que permite cercarse a la verdad,es un derecho ,,,
3144,tratado,deberia mantenerse a traves del tiempo,,En exceso puede ser mala,,,,,emocion complicada,Habilidad,ocurre cuando alguien está enfermo y tiene la esperanza que se recupere,,liberacion de buenas vibras y alegria,,,verdad,,,,miedo,culturización,permite la coordinación interna,base del pensamiento lógico,debe ser respetada,,,
3231,arreglo,genera estados animicos positivos,,estrés,,,,,se refleja con cara de asombro,Capacidad para competir en determinada área,pedri algo,,alegria,,,es una forma de sincerarse,,,,situación inestable,progresar,ordenar ideas,concepto fraccionario que permite hacer una proporción,protección,,,
3232,comprometerse a ciertas condiciones,Acción realizada cuando se quiere atribuir un acto o un hecho que produjo resultados beneficiosos para el receptor.,,genera problemas a la larga ,,,,,Un trastorno de personalidad,Se dice este concepto cuando vemos que una persona posee habilidad en determinado campo,fe,,emocion positiva,,,transparencia,,,,riesgo,sabios,cronológico,pensar antes de actuar,estar a salvo,,,
3233,compromiso,Acto de dar las gracias respecto a algo.,,afecta estados mentales,,,,,Es una fijación por algo determinado,Práctica,aliciente de que vendra algo mejor,,Sensación de alegría,,,expresión,,,,desequilibrio del entorno,pensadores,objetivos claros,pensar un acto,me brinda tranquilidad,,,
3282,grupo que tiene ideas en común,Bondad,,afecta al eje HPA,,,,,sentimiento,Talento,soñar que las cosas pueden cambiar para mejor,,Estado de goce,,,,,,,amenaza,originado en grecia,Esquema mental para lograr una meta,meditar,es un factor ,,,
3283,fin de un tratado con las dos partes para un mismo lado,Alegría con la situación y con una persona,,siempre aparece cuando estamos estreados,,,,,sensacion de escapar,estrezarse por algo,es lo ultimo que se pierde,,Satisfacción,,,,,,,riesgo,genera inteligencia,Idea que lleva consigo pasos para lograr algo,Tener certeza,situación de protección,,,
3284,consenso,Cariño,,provoca que andes desconcentrado,,,,,una persona puede tenerla,desesperación,confianza ,,Paz,,,,,,,puedes sufrirlo si no te cuidas,reflexión,Una idea con un fin,Cordura,existen guardias que cubren esto,,,
3285,tratado,Felicidad ante la situación,,te aparce antes de entrar a una evaluación,,,,,huir,pasciencia,fé,,serenidad,,,,,,,aunque no quieras siempre estas expuesto,elemento sumamente poderoso,Pensamiento,Estar en lo correcto,"pueden haber policías, bomberos, ambulancia cubriendo esto",,,
3365,lograr un punto en  comun,Esperanza,,aparece cuando te enfrentas a algo nuevo,,,,,correr,habilidad desarrollada o desarrollable en el tiempo,motivación,,contento,,,,,,,una situación en que puedes salir dañado,Procesamiento de ideas,Razonamiento logico,autoridad,Cualidad ,,,
3366,unir los pensamientos en uno,Ayuda recibida,,Esta asociado a grandes subidas de peso en poco tiempo,,,,,miedo,habilidad,mentalidad positiva,,alegría,,,,,,,situación alarmante,Se enmarca en pasado o futuro,Planificacion Previa,pensar,Se asume positiva,,,
3367,trato,felicidad,,Altera los nervios,,,,,,capacidad,resiliencia,,entusiasmo,,,,,,,es un factor de riesgo,Nos aleja del presente,Se te ocurren ideas,saber,Atrae el éxito,,,
3368,arreglo,sonreir,,Produce daños colaterales a la salud,,,,,,talento,Expectativa de que algo bueno pueda suceder,,disfrutar,,,,,,,Algo que puede hacer daño,Cuestionamiento,Busca lograr cierto objetivo,conocimiento,Se busca obtener en la vida cotideana,,,
3369,consentimiento,estado de animo,,Puede causar depresión,,,,,,aptitud,el resultado más probable,,tranquilidad,,,,,,,Hay que tener cuidado ,Reflexión,Ayuda a organizarce,inteligencia,Se busca brindarla,,,
3370,contrato,reconocerlo que hizo alguien,,Uno está inseguro,,,,,,cuan facil se logra algo,fé,,sentirse bien,,,,,,,El humnao tiende siempre a evitarlo,Razonamiento lógico,Puede ser entre varias personas o solo,existencia,Los goriernos necesitan entregar esta cualidad,,,
3641,promesa,humildad,,Una angustia muy grande,,,,,,cuan rapido se logra algo, sentir tranquilidad de que ocurrira lo que estamos esperando,,Verdad,,,,,,,antónimo de seguridad,Susceptible a sufrir manipulación,Todos hacemos alguno,,confianza,,,
3642,Realizar un pacto con alguna persona de algo en particular.,reconocimiento,,Es un estado mental,,,,,,habilidad,sentirse acertivo que tarde o temprano ocurrira lo esperado,,Inteligencia,,,,,,,acompañado de una advertencia,Cultivable desde el entendimiento,Pueden ser buenos,,tranquilidad,,,
3643,Comprometerse con alguien sobre algo a realizar.,honestidad,,Preocupación,,,,,,capacidad de hacer cosas,esperar de  forma segura y paciente lo que estamos necesitando,,Experiencia,,,,,,,provoca daño,Influenciable por la personalidad,Pueden no funcionar,,barreras de protección,,,
3644,Planificar algo,capacidad de crítica,,Estar muy exitado ,,,,,,detallista,creer que algo sucederá,,Es tener la convicción de algo que puede ser bajo un criterio bien o mal fundamentado,,,,,,,se suele evitar,Cadenas de la conciencia,anticipar ,,fortaleza,,,
3645,realizar un plan,gratitud,,desesperado,,,,,,buen desempeño,fuerza que ayuda a los que sufren,,Es tener cordura o una mente sana para actuar,,,,,,,las construcciones son las que más trabajan para disminuirlo,Surgen en la cabeza,toma en cuenta distintos factores ,,disminuye el miedo,,,
3646,Concenso,gratitud,,nervioso,,,,,,inteligente,fe,,momento feliz,,,,,,,las guerras son las que mas lo poseen,Pensar,busca una solucion frente a algun problema,,es admirada por las personas,,,
3647,Igualdad ,Sensacion tras recibir algo positivo de otro,,estar muy inquieto por algo que suceda,,,,,,Habilidad para realizar alguna actividad en particular.,pensamiento que algo llegará,,estar contento,,,,,,,a veces se asocia con una sensacion,Toda persona lo tiene,predisposicion a una accion,,no deja espacio a la duda,,,
3648,Ceder ,gratitud,,hiperactivo,,,,,,Desempeño extraourdinario en algun arte,tener fe,,sentirse bien ante una situaciòn ,,,,,,,riesgo,Es abstracto,para hacer algo se crea uno,,poderosa herramiento para convencer a otras personas,,,
3649,quedar en algo entre personas,sentimiento positivo que genera el aporte desinteresado de otra persona,,volverse loco,,,,,,Se relaciona con la inteligencia,creer que ocurrira algo,,sentirse pleno ,,,,,,,inseguridad,Lo que tengo para existir,"para llevar a cabo un proyecto, primero se debe hacer un ",,firmeza,,,
3650,,Es una emoción que ocurre cuando pasa algo bueno.,,transpiracion,,,,,,Inteligencias,,,Estado de ànimo,,,,,,,daño,Un acto mental,estrategia,,alarmas anti robo,,,
3857,,Dar las gracias,,nervios,,,,,,Es una capacidad distinta de la común ,,,Se da con cosas buenas,,,,,,,veneno,Lo que tienes en tu mente al imaginar historias falsas (pasarse rollos),crongrama,,Lo que sentías al ser un niño en brazos de tus padres,,,
3858,,Dar un regalo,,inseguridad,,,,,,Competencia,,,Alegrìa,,,,,,,advertencia,siempre constante,cursos de acción,,Lo que brindan los carabineros y los guardias,,,
3859,,Sentimiento hacia alguien,,te hace doler el estómago,,,,,,es una capacidad,,,Estar contento,,,,,,,precipicio,innato,expresión que se da cuando se necesita conseguir algo,,Estado de plenitud en el que no te sientes bajo algún peligro,,,
3860,,Realizar un favor a alguien,,te hace sudar,,,,,,lo logra la perserverancia,,,Lo contrario a tristeza,,,,,,,no es compatible con seguridad,razonamiento,palabra usada en reuniones para concretar negocios,,Lo que sientes al hacer algo que sabes que es lo correcto,,,
3861,,Responder ante el favor de alguien,,desesperación,,,,,,existen diferentes categorias,,,Emociòn,,,,,,,miedo,consciente,programa,,Lo que sientes al tener el apoyo de la gente que te importa,,,
3983,,,,sensación no placentera,,,,,,practica continua ,,,Estar feliz,,,,,,,puede llevar a la muerte,Cavilación,forma definida de hacer algo,,Bienestar,,,
3984,,,,Sucede por momentos tensos o de emoción.,,,,,,caracteristica,,,,,,,,,,puede tener graves consecuencias,Hecho mental que nos hace recordar o surgir ideas nuevas ,reglas,,Es un sentimiento personal,,,
3985,,,,se refleja por estado animico intranquilo,,,,,,,,,,,,,,,,Amenaza,Se genera la acción al profundizar sobre algún evento,esquema,,Todos queremos sentirnos asi,,,
3986,,,,necesidad de querer algo desesperadamente,,,,,,,,,,,,,,,,Miedo a ser dañado,Es común ver a los adultos tener esta acción frente el futuro.,trazado,,En chile se esta perdiendo,,,
3987,,,,estar espectante a recibir algo o alguna noticia,,,,,,,,,,,,,,,,Provoca comportamiento defensivo,Se liga a la creatividad y la ideas,acuerdo,,Se necesitan rejas ,,,
3988,,,,Desviar una responsabilidad,,,,,,,,,,,,,,,,Induce estado de alerta,Proceso interno mental sobre algo. ,set de pasos definidosen pos de un objetivo,,Se usan candados,,,
3989,,,,Esuna forma de defensa para una persona que siente miedo,,,,,,,,,,,,,,,,Algunos se preocupan más que otros,Estado que yace en la mente de las personas.,pensado,,Proteccion par alguien o algo,,,
3990,,,,Evitar una situación exponiendo una circunstancia x ,,,,,,,,,,,,,,,,Opuesto a la seguridad,"Figuración mental respecto a letras, objetos, personas, cosas, etc.",algo preparado,,Los policias la protegen,,,
3991,,,,Ausencia de algo,,,,,,,,,,,,,,,,Nos enfoca totalmente en el,Representación mental respecto a algo o alguien.,Estrategia a implementar para conseguirun objetivo,,Algunos paises tienen mas que otros,,,
3992,,,,,,,,,,,,,,,,,,,,Sube la adrenalina,idea,Programación de pasos detallada para lograr un fin,,Las carceles debieran tenerla,,,
4036,,,,,,,,,,,,,,,,,,,,Produce repulsión,opinión,camino a seguir,,proteccion ,,,
4037,,,,,,,,,,,,,,,,,,,,Se busca minimizar,modelo,preparación,,sentirse seguro con/en,,,
4038,,,,,,,,,,,,,,,,,,,,Cuando uno esta indefenso,imaginación,ser precavido,,lleva a no preocuparse ante distintas situaciones,,,
4039,,,,,,,,,,,,,,,,,,,,Cuidado,proceso cognitivo interno,organizado,,comodidad,,,
4040,,,,,,,,,,,,,,,,,,,,Riesgo,resultado de la reflexion personal,adelantarse a las situaciones,,sentirse protegido ante peligros,,,
4170,,,,,,,,,,,,,,,,,,,,Cuando uno corre riesgo de hacer cierta actividad,forma individual de interpretacion,accion inteligente,,Calma,,,
4171,,,,,,,,,,,,,,,,,,,,Cuando ocurre una desgracia,reflexion,tener clara las proyecciones,,Tranquilidad,,,
4172,,,,,,,,,,,,,,,,,,,,Amenaza,idea interna,buena desición,,Protección,,,
4173,,,,,,,,,,,,,,,,,,,,Señales de construcción que prohiben el paso bajo una advertencia,idea,oganización,,Autoestima retratada en el caminar y hablar,,,
4174,,,,,,,,,,,,,,,,,,,,Lo que usualmente debemos evitar,estructura del cerebro,protocolo,,Confianza ,,,
4175,,,,,,,,,,,,,,,,,,,,El riesgo de perder todo,conceptos mentales,algoritmo,,Lo contrario a tener temor y miedo,,,
4379,,,,,,,,,,,,,,,,,,,,Estado de emergencia ante una catástrofe,Son ideas que ocurren.,una receta de actos a realizar para lograr un objetivo,,confianza,,,
4380,,,,,,,,,,,,,,,,,,,,Lo que a veces aceptamos sabiendo los riesgos que puede traer,algo rondando en la mente,aticulacion paso a paso con el fin de alcanzar un objetivo determinado,,sensanción de plenitud,,,
4469,,,,,,,,,,,,,,,,,,,,no hay seguridad,ideas o sucesos en nuestra mente que no se comparten,procedimiento para alcanzar un fin,,sensancion de tranquilidad frentea una situacion,,,
4470,,,,,,,,,,,,,,,,,,,,puede ser considerado como amenaza,algo intangible ,maquinacion,,resguardo,,,
